name,count,years,F,recent_count,recent_count_per_k,count_per_k,phonetic,phonetic_relative_f,other_spellings
aaliyah,3900,"[[1998, 5], [1999, 5], [2000, 5], [2001, 30], [2002, 60], [2003, 70], [2004, 70], [2005, 65], [2006, 60], [2007, 65], [2008, 75], [2009, 90], [2010, 135], [2011, 145], [2012, 175], [2013, 145], [2014, 195], [2015, 190], [2016, 195], [2017, 200], [2018, 190], [2019, 230], [2020, 260], [2021, 275], [2022, 290], [2023, 330], [2024, 345]]",1.0,2315.0,0.4812424578497089,0.11500625162188303,/a.li.ja/,1.0,"[{""name"": ""aaliyah"", ""relative_frequency"": 0.22152797500710025}, {""name"": ""aliya"", ""relative_frequency"": 0.40244248792956544}, {""name"": ""aliyah"", ""relative_frequency"": 0.3760295370633343}]"
aaron,37965,"[[1949, 5], [1960, 5], [1962, 5], [1963, 5], [1964, 5], [1965, 5], [1966, 5], [1970, 5], [1974, 5], [1975, 5], [1976, 5], [1977, 5], [1979, 5], [1980, 5], [1981, 10], [1982, 10], [1983, 10], [1984, 10], [1985, 10], [1986, 10], [1987, 15], [1988, 15], [1989, 15], [1990, 25], [1991, 20], [1992, 35], [1993, 20], [1994, 25], [1995, 45], [1996, 40], [1997, 75], [1998, 85], [1999, 100], [2000, 120], [2001, 145], [2002, 145], [2003, 145], [2004, 345], [2005, 450], [2006, 605], [2007, 915], [2008, 1390], [2009, 1360], [2010, 1605], [2011, 1765], [2012, 1730], [2013, 1905], [2014, 2055], [2015, 2155], [2016, 2370], [2017, 2385], [2018, 2250], [2019, 2445], [2020, 2320], [2021, 2495], [2022, 2290], [2023, 1955], [2024, 1975]]",0.002107204003687607,20485.0,4.258424081663623,1.1195416263653306,/a.ʁɔn/,0.001894163608381674,"[{""name"": ""aaron"", ""relative_frequency"": 0.8988990174026281}, {""name"": ""aron"", ""relative_frequency"": 0.0615603172724044}, {""name"": ""haron"", ""relative_frequency"": 0.039540665324967444}]"
abby,3030,"[[1990, 5], [1997, 5], [2002, 5], [2003, 5], [2004, 10], [2005, 20], [2006, 40], [2007, 85], [2008, 90], [2009, 105], [2010, 115], [2011, 115], [2012, 155], [2013, 115], [2014, 165], [2015, 115], [2016, 145], [2017, 155], [2018, 190], [2019, 195], [2020, 210], [2021, 270], [2022, 235], [2023, 240], [2024, 240]]",1.0,1880.0,0.39081460939846774,0.08935101087546297,/a.bi/,1.0,"[{""name"": ""abby"", ""relative_frequency"": 0.679372197309417}, {""name"": ""haby"", ""relative_frequency"": 0.32062780269058294}]"
abdallah,6575,"[[1944, 5], [1947, 5], [1948, 5], [1949, 10], [1950, 5], [1951, 10], [1952, 10], [1953, 15], [1954, 20], [1955, 25], [1956, 20], [1957, 25], [1958, 25], [1959, 30], [1960, 35], [1961, 40], [1962, 50], [1963, 45], [1964, 55], [1965, 60], [1966, 65], [1967, 65], [1968, 55], [1969, 60], [1970, 70], [1971, 55], [1972, 50], [1973, 70], [1974, 50], [1975, 65], [1976, 50], [1977, 50], [1978, 35], [1979, 40], [1980, 50], [1981, 50], [1982, 65], [1983, 45], [1984, 55], [1985, 50], [1986, 45], [1987, 45], [1988, 45], [1989, 50], [1990, 35], [1991, 35], [1992, 35], [1993, 45], [1994, 35], [1995, 35], [1996, 35], [1997, 40], [1998, 50], [1999, 70], [2000, 70], [2001, 70], [2002, 90], [2003, 105], [2004, 105], [2005, 140], [2006, 135], [2007, 135], [2008, 170], [2009, 165], [2010, 185], [2011, 185], [2012, 205], [2013, 260], [2014, 275], [2015, 310], [2016, 270], [2017, 255], [2018, 245], [2019, 195], [2020, 190], [2021, 145], [2022, 155], [2023, 150], [2024, 175]]",0.0,1780.0,0.37002659826025136,0.19388874472150794,/ab.da.la/,0.0,"[{""name"": ""abdallah"", ""relative_frequency"": 1.0}]"
abdoul,1880,"[[1941, 5], [1942, 5], [1945, 5], [1947, 5], [1948, 5], [1949, 5], [1950, 5], [1951, 5], [1952, 5], [1953, 5], [1955, 5], [1956, 5], [1957, 5], [1958, 5], [1960, 5], [1961, 5], [1963, 5], [1964, 5], [1965, 5], [1966, 5], [1968, 5], [1969, 5], [1970, 5], [1971, 5], [1972, 5], [1973, 5], [1974, 5], [1975, 5], [1976, 5], [1977, 5], [1978, 15], [1979, 15], [1980, 10], [1981, 20], [1982, 20], [1983, 10], [1984, 15], [1985, 20], [1986, 20], [1987, 25], [1988, 25], [1989, 25], [1990, 25], [1991, 25], [1992, 25], [1993, 15], [1994, 20], [1995, 15], [1996, 20], [1997, 25], [1998, 20], [1999, 25], [2000, 20], [2001, 25], [2002, 35], [2003, 20], [2004, 25], [2005, 25], [2006, 25], [2007, 25], [2008, 30], [2009, 30], [2010, 35], [2011, 40], [2012, 45], [2013, 55], [2014, 50], [2015, 60], [2016, 60], [2017, 60], [2018, 65], [2019, 85], [2020, 90], [2021, 95], [2022, 95], [2023, 100], [2024, 100]]",0.0,750.0,0.15591008353662275,0.05543891103824105,/ab.dul/,0.0,"[{""name"": ""abdoul"", ""relative_frequency"": 1.0}]"
abdoulaye,4460,"[[1964, 5], [1968, 5], [1970, 5], [1971, 5], [1972, 10], [1973, 10], [1974, 15], [1975, 10], [1976, 20], [1977, 20], [1978, 25], [1979, 25], [1980, 35], [1981, 30], [1982, 45], [1983, 60], [1984, 65], [1985, 55], [1986, 60], [1987, 80], [1988, 75], [1989, 50], [1990, 55], [1991, 55], [1992, 55], [1993, 60], [1994, 60], [1995, 40], [1996, 55], [1997, 50], [1998, 50], [1999, 50], [2000, 75], [2001, 80], [2002, 85], [2003, 80], [2004, 85], [2005, 95], [2006, 100], [2007, 80], [2008, 105], [2009, 105], [2010, 100], [2011, 115], [2012, 125], [2013, 150], [2014, 125], [2015, 135], [2016, 115], [2017, 145], [2018, 185], [2019, 150], [2020, 180], [2021, 175], [2022, 200], [2023, 205], [2024, 225]]",0.0,1580.0,0.3284505759838186,0.13151996980348676,/ab.du.la.jɛ/,0.0,"[{""name"": ""abdoulaye"", ""relative_frequency"": 1.0}]"
abdullah,1760,"[[1975, 5], [1977, 5], [1978, 10], [1979, 5], [1980, 15], [1981, 15], [1982, 15], [1983, 10], [1984, 15], [1985, 20], [1986, 15], [1987, 15], [1988, 15], [1989, 15], [1990, 15], [1991, 25], [1992, 20], [1993, 30], [1994, 30], [1995, 30], [1996, 20], [1997, 25], [1998, 20], [1999, 20], [2000, 30], [2001, 30], [2002, 40], [2003, 35], [2004, 35], [2005, 40], [2006, 50], [2007, 30], [2008, 50], [2009, 40], [2010, 55], [2011, 50], [2012, 50], [2013, 70], [2014, 70], [2015, 80], [2016, 80], [2017, 70], [2018, 80], [2019, 70], [2020, 50], [2021, 60], [2022, 70], [2023, 60], [2024, 55]]",0.0,595.0,0.1236886662723874,0.05190025714218311,/ab.du.la/,0.0,"[{""name"": ""abdullah"", ""relative_frequency"": 1.0}]"
abel,13220,"[[1941, 115], [1942, 110], [1943, 90], [1944, 105], [1945, 110], [1946, 130], [1947, 125], [1948, 110], [1949, 115], [1950, 100], [1951, 65], [1952, 75], [1953, 70], [1954, 45], [1955, 50], [1956, 45], [1957, 55], [1958, 55], [1959, 55], [1960, 55], [1961, 55], [1962, 45], [1963, 40], [1964, 35], [1965, 45], [1966, 40], [1967, 45], [1968, 60], [1969, 55], [1970, 60], [1971, 60], [1972, 50], [1973, 45], [1974, 40], [1975, 45], [1976, 35], [1977, 30], [1978, 35], [1979, 40], [1980, 45], [1981, 40], [1982, 35], [1983, 30], [1984, 40], [1985, 35], [1986, 45], [1987, 35], [1988, 40], [1989, 40], [1990, 40], [1991, 50], [1992, 55], [1993, 40], [1994, 60], [1995, 65], [1996, 75], [1997, 70], [1998, 90], [1999, 110], [2000, 150], [2001, 130], [2002, 125], [2003, 140], [2004, 130], [2005, 170], [2006, 200], [2007, 230], [2008, 220], [2009, 270], [2010, 300], [2011, 305], [2012, 400], [2013, 435], [2014, 450], [2015, 500], [2016, 515], [2017, 545], [2018, 555], [2019, 610], [2020, 620], [2021, 675], [2022, 670], [2023, 655], [2024, 640]]",0.00264750378214826,5485.0,1.1402224109311678,0.38984170421571634,/a.bɛl/,0.00264750378214826,"[{""name"": ""abel"", ""relative_frequency"": 1.0}]"
abigail,2130,"[[1971, 5], [1972, 5], [1973, 5], [1978, 5], [1979, 5], [1980, 15], [1981, 10], [1982, 15], [1983, 10], [1984, 10], [1985, 10], [1986, 15], [1987, 5], [1988, 20], [1989, 30], [1990, 30], [1991, 30], [1992, 20], [1993, 20], [1994, 35], [1995, 40], [1996, 30], [1997, 45], [1998, 40], [1999, 40], [2000, 45], [2001, 45], [2002, 55], [2003, 55], [2004, 50], [2005, 60], [2006, 70], [2007, 70], [2008, 80], [2009, 100], [2010, 105], [2011, 75], [2012, 50], [2013, 60], [2014, 65], [2015, 55], [2016, 60], [2017, 75], [2018, 70], [2019, 50], [2020, 80], [2021, 65], [2022, 70], [2023, 65], [2024, 60]]",1.0,595.0,0.1236886662723874,0.06281110665502843,/a.bi.ɡɛl/,1.0,"[{""name"": ""abigail"", ""relative_frequency"": 1.0}]"
abigaël,1425,"[[1990, 5], [1994, 5], [1995, 5], [1996, 15], [1997, 15], [1998, 10], [1999, 5], [2010, 25], [2011, 75], [2012, 95], [2013, 110], [2014, 85], [2015, 110], [2016, 100], [2017, 100], [2018, 105], [2019, 85], [2020, 100], [2021, 110], [2022, 80], [2023, 85], [2024, 100]]",0.9894736842105263,865.0,0.17981629634557159,0.04202151501568803,/a.bi.ɡa.ɛl/,0.9955555555555555,"[{""name"": ""abiga\u00ebl"", ""relative_frequency"": 0.4222222222222222}, {""name"": ""abiga\u00eblle"", ""relative_frequency"": 0.5777777777777777}]"
